File,ENT(0)_cp_y,gs_y,cp_n,p,r,f,ENT(1)_cp_y,gs_y,cp_n,p,r,f
"E:\Data\table_annotation\tmp\List_of_Avengers_members_8400.html_11.xml.html.cell.keys",3.5,8.0,4.5,0.4375,0.4375,0.4375,3.5,8.0,6.5,0.35,0.4375,0.38888888888888884,
"E:\Data\table_annotation\tmp\List_of_birds_of_Thailand_4230.html_47.xml.html.cell.keys",35.0,35.0,0.0,1.0,1.0,1.0,35.0,35.0,0.0,1.0,1.0,1.0,
"E:\Data\table_annotation\tmp\List_of_Canadian_airports_by_location_indicator~_CJ_27f2.html_0.xml.html.cell.keys",154.79603174603173,214.0,59.20396825396824,0.7233459427384661,0.723345942738466,0.723345942738466,154.79603174603173,214.0,195.20396825396824,0.4422743764172335,0.723345942738466,0.5489220983901834,
"E:\Data\table_annotation\tmp\List_of_Canadian_airports_by_location_indicator~_CV_5365.html_0.xml.html.cell.keys",9.678210678210677,20.0,10.321789321789323,0.48391053391053385,0.48391053391053385,0.48391053391053385,9.678210678210677,20.0,48.32178932178932,0.16686570134845996,0.48391053391053385,0.2481592481592481,
"E:\Data\table_annotation\tmp\List_of_cast_members_of_The_Simpsons_878d.html_2.xml.html.cell.keys",5.5,10.0,2.5,0.6875,0.55,0.6111111111111112,5.5,10.0,3.5,0.6111111111111112,0.55,0.5789473684210527,
"E:\Data\table_annotation\tmp\List_of_Catalan_language_television_channels_169d.html_14.xml.html.cell.keys",8.45,16.0,7.55,0.528125,0.528125,0.528125,8.45,16.0,14.55,0.3673913043478261,0.528125,0.4333333333333333,
"E:\Data\table_annotation\tmp\List_of_champagne_producers.html_0.xml.html.cell.keys",104.83333333333333,115.0,9.166666666666668,0.9195906432748537,0.9115942028985506,0.915574963609898,104.83333333333333,115.0,21.166666666666664,0.832010582010582,0.9115942028985506,0.8699861687413553,
"E:\Data\table_annotation\tmp\List_of_cities_in_Norway_c220.html_0.xml.html.cell.keys",59.75,68.0,8.25,0.8786764705882353,0.8786764705882353,0.8786764705882353,59.75,68.0,20.25,0.746875,0.8786764705882353,0.8074324324324325,
"E:\Data\table_annotation\tmp\List_of_Daytona_500_broadcasters_861d.html_1.xml.html.cell.keys",47.60404040404041,110.0,62.39595959595959,0.43276400367309464,0.43276400367309464,0.43276400367309464,47.60404040404041,110.0,159.3959595959596,0.22997120968135465,0.43276400367309464,0.30034094892139057,
"E:\Data\table_annotation\tmp\List_of_Disney_theatrical_animated_features_b17e.html_0.xml.html.cell.keys",7.0,29.0,22.0,0.2413793103448276,0.2413793103448276,0.2413793103448276,7.0,29.0,35.0,0.16666666666666666,0.2413793103448276,0.19718309859154928,
