File,REL(0)_cp_y, gs_y, cp_n, p,r,f,REL(1)_cp_y, gs_y, cp_n, p,r,f
"E:\Data\table_annotation\tmp\Moorish_Revival_2c45.html_0.xml.html.cell.keys",1.0,3.0,0.0,1.0,0.3333333333333333,0.5,1.5,3.0,0.0,1.0,0.5,0.6666666666666666,
"E:\Data\table_annotation\tmp\Nashville,_Tennessee_0fa5.html_2.xml.html.cell.keys",2.0,4.0,1.0,0.6666666666666666,0.5,0.5714285714285715,2.0,4.0,1.0,0.6666666666666666,0.5,0.5714285714285715,
"E:\Data\table_annotation\tmp\Norm_Smith_Medal_7f49.html_0.xml.html.cell.keys",2.0,3.0,0.0,1.0,0.6666666666666666,0.8,2.0,3.0,0.0,1.0,0.6666666666666666,0.8,
"E:\Data\table_annotation\tmp\North_Cascades_720f.html_1.xml.html.cell.keys",0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\N_(Poland)_5014.html_2.xml.html.cell.keys",1.0,3.0,0.0,1.0,0.3333333333333333,0.5,1.0,3.0,0.0,1.0,0.3333333333333333,0.5,
"E:\Data\table_annotation\tmp\Orlando_Magic_all-time_roster_a0ec.html_2.xml.html.cell.keys",2.0,5.0,1.0,0.6666666666666666,0.4,0.5,2.5,5.0,0.5,0.8333333333333334,0.5,0.625,
"E:\Data\table_annotation\tmp\Padma_Bhushan_89ce.html_5.xml.html.cell.keys",1.0,2.0,0.0,1.0,0.5,0.6666666666666666,1.0,2.0,0.0,1.0,0.5,0.6666666666666666,
"E:\Data\table_annotation\tmp\Portal~Government_of_India_Selected_lists_January,_2007_ca64.html_0.xml.html.cell.keys",0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.5,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Prime_Minister_of_Lithuania_77b7.html_0.xml.html.cell.keys",0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Prime_Minister_of_Serbia_and_Montenegro_49ee.html_0.xml.html.cell.keys",1.0,4.0,0.0,1.0,0.25,0.4,1.0,4.0,0.0,1.0,0.25,0.4,
"E:\Data\table_annotation\tmp\Progressive_Conservative_Party_of_Manitoba_fc22.html_0.xml.html.cell.keys",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Providence_County,_Rhode_Island_schools_9f43.html_1.xml.html.cell.keys",1.0,2.0,0.0,1.0,0.5,0.6666666666666666,1.0,2.0,0.0,1.0,0.5,0.6666666666666666,
"E:\Data\table_annotation\tmp\Raymond_Kurzweil_cb80.html_0.xml.html.cell.keys",0.0,2.0,1.0,0.0,0.0,0.0,0.5,2.0,0.5,0.5,0.25,0.3333333333333333,
"E:\Data\table_annotation\tmp\Reel_Fishing_41d8.html_0.xml.html.cell.keys",0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
"E:\Data\table_annotation\tmp\Religious_rejection_of_politics.html_0.xml.html.cell.keys",0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,
"E:\Data\table_annotation\tmp\Republican_Conference_Chairman_of_the_United_States_Senate_7b0c.html_0.xml.html.cell.keys",1.0,2.0,0.0,1.0,0.5,0.6666666666666666,1.0,2.0,0.0,1.0,0.5,0.6666666666666666,
