File,ENT(0)_cp_y,gs_y,cp_n,p,r,f,ENT(1)_cp_y,gs_y,cp_n,p,r,f
E:\Data\table_annotation\tmp\List_of_trolleybus_systems_in_the_United_Kingdom_e871.html_8.xml.html.cell.keys,3,6,3,0.5,0.5,0.5,3,6,3,0.5,0.5,0.5
E:\Data\table_annotation\tmp\List_of_victims_of_Nazism_be15.html_5.xml.html.cell.keys,15,29,5,0.75,0.517241379,0.612244898,15,29,5,0.75,0.517241379,0.612244898
E:\Data\table_annotation\tmp\Longitude_prize.html_0.xml.html.cell.keys,8,14,1,0.888888889,0.571428571,0.695652174,8,14,1,0.888888889,0.571428571,0.695652174
E:\Data\table_annotation\tmp\Miami_Heat_all-time_roster_6676.html_1.xml.html.cell.keys,17,27,10,0.62962963,0.62962963,0.62962963,17,27,10,0.62962963,0.62962963,0.62962963
E:\Data\table_annotation\tmp\Michael_Tuck_Medal_ce06.html_0.xml.html.cell.keys,40,43,3,0.930232558,0.930232558,0.930232558,40,43,3,0.930232558,0.930232558,0.930232558
E:\Data\table_annotation\tmp\Ministry_for_the_Environment_(New_Zealand)_8425.html_0.xml.html.cell.keys,7,10,3,0.7,0.7,0.7,7,10,3,0.7,0.7,0.7
E:\Data\table_annotation\tmp\Minnesota's_7th_congressional_district.html_0.xml.html.cell.keys,15,24,6,0.714285714,0.625,0.666666667,15,24,6,0.714285714,0.625,0.666666667
E:\Data\table_annotation\tmp\Moorish_Revival_2c45.html_0.xml.html.cell.keys,28,36,8,0.777777778,0.777777778,0.777777778,28,36,8,0.777777778,0.777777778,0.777777778
E:\Data\table_annotation\tmp\Municipality_numbers_of_Norway_c032.html_14.xml.html.cell.keys,40,48,7,0.85106383,0.833333333,0.842105263,40,48,7,0.85106383,0.833333333,0.842105263
"E:\Data\table_annotation\tmp\Nashville,_Tennessee_0fa5.html_2.xml.html.cell.keys",9,10,0,1,0.9,0.947368421,9,10,0,1,0.9,0.947368421
E:\Data\table_annotation\tmp\Norm_Smith_Medal_7f49.html_0.xml.html.cell.keys,93,99,6,0.939393939,0.939393939,0.939393939,93,99,6,0.939393939,0.939393939,0.939393939
E:\Data\table_annotation\tmp\Northstate_Public_Radio_c974.html_0.xml.html.cell.keys,1,12,5,0.166666667,0.083333333,0.111111111,1,12,5,0.166666667,0.083333333,0.111111111
E:\Data\table_annotation\tmp\North_Cascades_720f.html_1.xml.html.cell.keys,5,5,0,1,1,1,5,5,0,1,1,1
E:\Data\table_annotation\tmp\N_(Poland)_5014.html_2.xml.html.cell.keys,8,8,0,1,1,1,8,8,0,1,1,1
E:\Data\table_annotation\tmp\Orlando_Magic_all-time_roster_a0ec.html_2.xml.html.cell.keys,15,25,10,0.6,0.6,0.6,15,25,10,0.6,0.6,0.6
E:\Data\table_annotation\tmp\Padma_Bhushan_89ce.html_5.xml.html.cell.keys,32,32,0,1,1,1,32,32,0,1,1,1
E:\Data\table_annotation\tmp\Panasonic_Open_12e3.html_7.xml.html.cell.keys,5,5,0,1,1,1,5,5,0,1,1,1
"E:\Data\table_annotation\tmp\Portal~Government_of_India_Selected_lists_January,_2007_ca64.html_0.xml.html.cell.keys",11,11,0,1,1,1,11,11,0,1,1,1
E:\Data\table_annotation\tmp\Praetorian_prefect.html_1.xml.html.cell.keys,7,7,0,1,1,1,7,7,0,1,1,1
E:\Data\table_annotation\tmp\Prime_Minister_of_Lithuania_77b7.html_0.xml.html.cell.keys,30,30,0,1,1,1,30,30,0,1,1,1
E:\Data\table_annotation\tmp\Prime_Minister_of_Serbia_and_Montenegro_49ee.html_0.xml.html.cell.keys,7,9,2,0.777777778,0.777777778,0.777777778,7,9,2,0.777777778,0.777777778,0.777777778
E:\Data\table_annotation\tmp\Progressive_Conservative_Party_of_Manitoba_fc22.html_0.xml.html.cell.keys,16,16,0,1,1,1,16,16,0,1,1,1
"E:\Data\table_annotation\tmp\Providence_County,_Rhode_Island_schools_9f43.html_1.xml.html.cell.keys",23,43,20,0.534883721,0.534883721,0.534883721,23,43,20,0.534883721,0.534883721,0.534883721
E:\Data\table_annotation\tmp\Raymond_Kurzweil_cb80.html_0.xml.html.cell.keys,13,14,1,0.928571429,0.928571429,0.928571429,13,14,1,0.928571429,0.928571429,0.928571429
E:\Data\table_annotation\tmp\Reel_Fishing_41d8.html_0.xml.html.cell.keys,11,19,8,0.578947368,0.578947368,0.578947368,11,19,8,0.578947368,0.578947368,0.578947368
E:\Data\table_annotation\tmp\Religious_rejection_of_politics.html_0.xml.html.cell.keys,11,14,3,0.785714286,0.785714286,0.785714286,11,14,3,0.785714286,0.785714286,0.785714286
E:\Data\table_annotation\tmp\Republican_Conference_Chairman_of_the_United_States_Senate_7b0c.html_0.xml.html.cell.keys,48,48,0,1,1,1,48,48,0,1,1,1
E:\Data\table_annotation\tmp\Rookie_Challenge_4618.html_0.xml.html.cell.keys,17,17,0,1,1,1,17,17,0,1,1,1
